,artist,region,n,year,Rank
0,Billie Eilish,Belgium,1526,2021,1
1,Olivia Rodrigo,Belgium,1452,2021,2
2,Pop Smoke,Belgium,1156,2021,3
3,Dua Lipa,Belgium,1107,2021,4
4,The Weeknd,Belgium,1082,2021,5
5,Ed Sheeran,Belgium,1036,2021,6
6,XXXTENTACION,Belgium,1023,2021,7
7,Justin Bieber,Belgium,949,2021,8
8,Lil Nas X,Belgium,799,2021,9
9,Måneskin,Belgium,774,2021,10
10,Bad Bunny,Bolivia,2780,2020,1
11,Christian Nodal,Bolivia,1991,2020,2
12,J Balvin,Bolivia,1828,2020,3
13,Maluma,Bolivia,1492,2020,4
14,Camilo,Bolivia,1477,2020,5
15,Piso 21,Bolivia,791,2020,6
16,Danna Paola,Bolivia,762,2020,7
17,Paulo Londra,Bolivia,733,2020,8
18,"J Balvin, Bad Bunny",Bolivia,700,2020,9
19,Dua Lipa,Bolivia,693,2020,10
20,Marília Mendonça,Brazil,3705,2019,1
21,Zé Neto & Cristiano,Brazil,2690,2019,2
22,Gusttavo Lima,Brazil,2232,2019,3
23,Diego & Victor Hugo,Brazil,1278,2019,4
24,Dilsinho,Brazil,1177,2019,5
25,Melim,Brazil,1142,2019,6
26,Wesley Safadão,Brazil,930,2019,7
27,Ariana Grande,Brazil,911,2019,8
28,Ed Sheeran,Brazil,903,2019,9
29,MC Kevin o Chris,Brazil,898,2019,10
30,Henrique & Juliano,Brazil,1578,2021,1
31,Gusttavo Lima,Brazil,1568,2021,2
32,Zé Vaqueiro,Brazil,1420,2021,3
33,Jorge & Mateus,Brazil,1411,2021,4
34,João Gomes,Brazil,1396,2021,5
35,Os Barões Da Pisadinha,Brazil,1283,2021,6
36,Marília Mendonça,Brazil,1193,2021,7
37,Olivia Rodrigo,Brazil,1170,2021,8
38,Zé Neto & Cristiano,Brazil,1139,2021,9
39,"Marília Mendonça, Maiara & Maraisa",Brazil,951,2021,10
40,Post Malone,Canada,2770,2019,1
41,Billie Eilish,Canada,2666,2019,2
42,Khalid,Canada,1949,2019,3
43,Ariana Grande,Canada,1896,2019,4
44,Ed Sheeran,Canada,1702,2019,5
45,Drake,Canada,1555,2019,6
46,Juice WRLD,Canada,1477,2019,7
47,XXXTENTACION,Canada,1124,2019,8
48,Travis Scott,Canada,998,2019,9
49,A Boogie Wit da Hoodie,Canada,970,2019,10
50,Justin Bieber,Denmark,1645,2021,1
51,Pop Smoke,Denmark,1309,2021,2
52,Ed Sheeran,Denmark,1265,2021,3
53,"Benny Jamz, Gilli, KESI, B.O.C",Denmark,1238,2021,4
54,The Weeknd,Denmark,1231,2021,5
55,Olivia Rodrigo,Denmark,1191,2021,6
56,Branco,Denmark,1135,2021,7
57,Billie Eilish,Denmark,1044,2021,8
58,Lewis Capaldi,Denmark,904,2021,9
59,The Minds Of 99,Denmark,818,2021,10
60,Ozuna,Dominican Republic,2470,2017,1
61,Ed Sheeran,Dominican Republic,1594,2017,2
62,Romeo Santos,Dominican Republic,1116,2017,3
63,Nicky Jam,Dominican Republic,1014,2017,4
64,Maluma,Dominican Republic,1008,2017,5
65,Bad Bunny,Dominican Republic,880,2017,6
66,Shakira,Dominican Republic,698,2017,7
67,Piso 21,Dominican Republic,668,2017,8
68,Drake,Dominican Republic,657,2017,9
69,Anuel AA,Dominican Republic,638,2017,10
70,Bad Bunny,Dominican Republic,5329,2020,1
71,Myke Towers,Dominican Republic,2320,2020,2
72,J Balvin,Dominican Republic,1470,2020,3
73,Camilo,Dominican Republic,1212,2020,4
74,Ozuna,Dominican Republic,1065,2020,5
75,Anuel AA,Dominican Republic,1054,2020,6
76,Maluma,Dominican Republic,842,2020,7
77,Rochy RD,Dominican Republic,832,2020,8
78,Yiyo Sarante,Dominican Republic,754,2020,9
79,"J Balvin, Bad Bunny",Dominican Republic,729,2020,10
80,Bad Bunny,Ecuador,3247,2020,1
81,J Balvin,Ecuador,1989,2020,2
82,Maluma,Ecuador,1425,2020,3
83,Camilo,Ecuador,1419,2020,4
84,Myke Towers,Ecuador,961,2020,5
85,Dua Lipa,Ecuador,787,2020,6
86,Paulo Londra,Ecuador,755,2020,7
87,Danna Paola,Ecuador,752,2020,8
88,"J Balvin, Bad Bunny",Ecuador,732,2020,9
89,Rauw Alejandro,Ecuador,563,2020,10
90,Ozuna,El Salvador,1442,2018,1
91,Bad Bunny,El Salvador,1177,2018,2
92,Ed Sheeran,El Salvador,1022,2018,3
93,XXXTENTACION,El Salvador,1007,2018,4
94,Manuel Turizo,El Salvador,943,2018,5
95,Danny Ocean,El Salvador,884,2018,6
96,Maluma,El Salvador,880,2018,7
97,Imagine Dragons,El Salvador,869,2018,8
98,Piso 21,El Salvador,833,2018,9
99,Post Malone,El Salvador,824,2018,10
100,nublu,Estonia,1257,2020,1
101,Juice WRLD,Estonia,962,2020,2
102,Billie Eilish,Estonia,767,2020,3
103,The Weeknd,Estonia,706,2020,4
104,Harry Styles,Estonia,603,2020,5
105,Dua Lipa,Estonia,558,2020,6
106,Travis Scott,Estonia,542,2020,7
107,Justin Bieber,Estonia,421,2020,8
108,"5MIINUST, nublu",Estonia,363,2020,9
109,"5MIINUST, Villemdrillem",Estonia,363,2020,10
110,Capital Bra,Germany,1505,2018,1
111,RAF Camora,Germany,1130,2018,2
112,Post Malone,Germany,1122,2018,3
113,XXXTENTACION,Germany,1116,2018,4
114,Drake,Germany,1026,2018,5
115,"Bonez MC, RAF Camora",Germany,1021,2018,6
116,Imagine Dragons,Germany,994,2018,7
117,Ed Sheeran,Germany,959,2018,8
118,RIN,Germany,876,2018,9
119,Summer Cem,Germany,838,2018,10
120,Ozuna,Guatemala,1848,2018,1
121,Maluma,Guatemala,1422,2018,2
122,Bad Bunny,Guatemala,1304,2018,3
123,Piso 21,Guatemala,1284,2018,4
124,Ed Sheeran,Guatemala,1254,2018,5
125,Banda MS de Sergio Lizárraga,Guatemala,1168,2018,6
126,Manuel Turizo,Guatemala,1021,2018,7
127,Danny Ocean,Guatemala,950,2018,8
128,Sebastian Yatra,Guatemala,915,2018,9
129,Imagine Dragons,Guatemala,880,2018,10
130,Bad Bunny,Guatemala,3763,2020,1
131,Christian Nodal,Guatemala,2808,2020,2
132,J Balvin,Guatemala,1766,2020,3
133,Camilo,Guatemala,1362,2020,4
134,Maluma,Guatemala,1099,2020,5
135,La Adictiva Banda San José de Mesillas,Guatemala,994,2020,6
136,Banda MS de Sergio Lizárraga,Guatemala,971,2020,7
137,Myke Towers,Guatemala,782,2020,8
138,"J Balvin, Bad Bunny",Guatemala,730,2020,9
139,Paulo Londra,Guatemala,728,2020,10
140,Ed Sheeran,Honduras,1571,2017,1
141,Ozuna,Honduras,1360,2017,2
142,Nicky Jam,Honduras,856,2017,3
143,Bad Bunny,Honduras,794,2017,4
144,Maluma,Honduras,714,2017,5
145,Piso 21,Honduras,646,2017,6
146,Shakira,Honduras,584,2017,7
147,Zion & Lennox,Honduras,566,2017,8
148,"The Weeknd, Daft Punk",Honduras,524,2017,9
149,Charlie Puth,Honduras,519,2017,10
150,Ozuna,Honduras,1213,2018,1
151,Bad Bunny,Honduras,1113,2018,2
152,Ed Sheeran,Honduras,898,2018,3
153,Danny Ocean,Honduras,868,2018,4
154,Drake,Honduras,781,2018,5
155,Banda MS de Sergio Lizárraga,Honduras,775,2018,6
156,Dua Lipa,Honduras,770,2018,7
157,Maluma,Honduras,736,2018,8
158,Zion & Lennox,Honduras,723,2018,9
159,Post Malone,Honduras,649,2018,10
160,Bad Bunny,Honduras,5373,2020,1
161,Christian Nodal,Honduras,2476,2020,2
162,J Balvin,Honduras,1808,2020,3
163,Myke Towers,Honduras,1286,2020,4
164,Camilo,Honduras,1136,2020,5
165,Maluma,Honduras,974,2020,6
166,Dua Lipa,Honduras,866,2020,7
167,Anuel AA,Honduras,743,2020,8
168,"J Balvin, Bad Bunny",Honduras,742,2020,9
169,The Weeknd,Honduras,738,2020,10
170,Bad Bunny,Honduras,5838,2021,1
171,Christian Nodal,Honduras,1788,2021,2
172,Olivia Rodrigo,Honduras,1381,2021,3
173,Rauw Alejandro,Honduras,1261,2021,4
174,The Weeknd,Honduras,1031,2021,5
175,Dua Lipa,Honduras,1016,2021,6
176,KAROL G,Honduras,836,2021,7
177,Sech,Honduras,826,2021,8
178,Maluma,Honduras,783,2021,9
179,Doja Cat,Honduras,761,2021,10
180,Imagine Dragons,Hungary,1964,2018,1
