,artist,region,date,n
0,Ed Sheeran,Japan,2017,327
1,Official HIGE DANdism,Japan,2019,205
2,Bad Bunny,Nicaragua,2021,168
3,Drake,Canada,2018,163
4,BTS,Japan,2021,163
5,Aimyon,Japan,2019,160
6,Drake,Global,2018,152
7,Wegz,Egypt,2020,152
8,Drake,United States,2018,146
9,Ed Sheeran,Malaysia,2017,142
10,YOASOBI,Japan,2020,139
11,william,Finland,2020,138
12,Official HIGE DANdism,Japan,2020,136
13,Ed Sheeran,Czech Republic,2017,135
14,Tones And I,Australia,2019,135
15,Ed Sheeran,Poland,2017,132
16,Aseel Hameem,Saudi Arabia,2019,132
17,Lil Nas X,Bulgaria,2021,132
18,Drake,United Kingdom,2018,130
19,Ed Sheeran,Turkey,2017,129
20,Ed Sheeran,Belgium,2017,128
21,Drake,Australia,2018,128
22,831,Taiwan,2020,128
23,The Weeknd,Belgium,2020,128
24,Tones And I,Norway,2019,126
25,優里,Japan,2021,126
26,"Shawn Mendes, Camila Cabello",Hong Kong,2019,123
27,The Kid LAROI,Australia,2021,123
28,Lil Nas X,Romania,2021,123
29,The Weeknd,Czech Republic,2020,121
30,Bad Bunny,Honduras,2021,121
31,Bad Bunny,El Salvador,2021,120
32,The Weeknd,Lithuania,2020,119
33,Drake,Portugal,2018,118
34,Drake,Greece,2018,118
35,Drake,New Zealand,2018,117
36,J Balvin,Colombia,2020,116
37,Drake,Ireland,2018,116
38,Billie Eilish,Lithuania,2019,116
39,"Shawn Mendes, Camila Cabello",Vietnam,2019,116
40,Bad Bunny,Guatemala,2021,115
41,Olivia Rodrigo,Global,2021,114
42,Bad Bunny,Costa Rica,2021,114
43,Ed Sheeran,Hungary,2017,113
44,Drake,Belgium,2018,113
45,BTS,South Korea,2021,112
46,Olivia Rodrigo,Ireland,2021,112
47,Lil Nas X,Portugal,2021,112
48,The Kid LAROI,United Arab Emirates,2021,112
49,Ed Sheeran,Switzerland,2017,111
50,Ed Sheeran,France,2017,111
51,"Shawn Mendes, Camila Cabello",Indonesia,2019,111
52,"Luis Fonsi, Daddy Yankee, Justin Bieber",Singapore,2017,111
53,Ed Sheeran,Greece,2017,110
54,Ed Sheeran,Slovakia,2017,109
55,Drake,Latvia,2018,109
56,Ed Sheeran,Luxembourg,2017,109
57,Ed Sheeran,Germany,2017,109
58,Tones And I,Belgium,2019,109
59,Masked Wolf,Saudi Arabia,2021,109
60,Ed Sheeran,Austria,2017,108
61,Olivia Rodrigo,United Kingdom,2021,108
62,"Pritam, Arijit Singh",India,2020,107
63,"The Chainsmokers, Coldplay",Taiwan,2017,107
64,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Mexico,2018,106
65,Tones And I,Lithuania,2019,106
66,Billie Eilish,Estonia,2019,105
67,Bad Bunny,Ecuador,2021,105
68,The Kid LAROI,Taiwan,2021,105
69,"Post Malone, 21 Savage",Canada,2017,105
70,"Post Malone, 21 Savage",United States,2017,105
71,"Tanishk Bagchi, Jubin Nautiyal, Asees Kaur",India,2021,105
72,Victor Leksell,Sweden,2020,104
73,"Dynoro, Gigi D'Agostino",Hungary,2018,104
74,"Shawn Mendes, Camila Cabello",United Arab Emirates,2019,104
75,"Shawn Mendes, Camila Cabello",Singapore,2019,103
76,ElGrandeToto,Morocco,2021,103
77,Sơn Tùng M-TP,Vietnam,2021,103
78,"Post Malone, 21 Savage",Global,2017,103
