,artist,date,n
0,"Shawn Mendes, Camila Cabello",2019-07,1059
1,Ed Sheeran,2017-03,959
2,Ed Sheeran,2017-02,940
3,Ed Sheeran,2017-01,909
4,The Kid LAROI,2021-08,823
5,"Shawn Mendes, Camila Cabello",2019-08,811
6,Ariana Grande,2019-02,735
7,"Luis Fonsi, Daddy Yankee, Justin Bieber",2017-06,717
8,"Luis Fonsi, Daddy Yankee, Justin Bieber",2017-05,621
9,Olivia Rodrigo,2021-01,613
10,"Post Malone, 21 Savage",2017-10,605
11,Lil Nas X,2021-04,602
12,Tones And I,2019-10,599
13,Drake,2018-07,571
14,Ed Sheeran,2017-04,544
15,Luis Fonsi,2017-03,542
16,The Kid LAROI,2021-09,538
17,"J Balvin, Willy William",2017-08,532
18,"Luis Fonsi, Daddy Yankee, Justin Bieber",2017-07,528
19,"KAROL G, Nicki Minaj",2020-01,520
20,Tones And I,2019-12,512
21,Maluma,2020-09,510
22,Tones And I,2019-11,500
23,"Bad Bunny, Jhay Cortez",2020-11,496
24,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",2019-08,494
25,"Bad Bunny, Jhay Cortez",2020-12,484
26,Maluma,2020-10,483
27,Luis Fonsi,2017-02,476
28,"KAROL G, Nicki Minaj",2019-12,472
29,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",2018-05,463
30,Olivia Rodrigo,2021-06,456
31,Billie Eilish,2019-04,445
32,Olivia Rodrigo,2021-02,441
33,Drake,2018-03,426
34,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",2019-09,412
35,"Sech, Darell",2019-05,411
36,Adele,2021-11,411
37,The Weeknd,2020-03,410
38,Ariana Grande,2019-01,409
39,Drake,2018-08,408
40,Maluma,2017-05,408
41,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",2018-06,406
42,"Post Malone, 21 Savage",2017-11,403
43,Drake,2018-02,399
44,Ariana Grande,2018-11,399
45,Adele,2021-10,389
46,"J Balvin, Willy William",2017-07,387
47,24kGoldn,2020-09,378
48,"Bad Bunny, Jhay Cortez",2021-01,375
49,"Nicky Jam, J Balvin",2018-04,372
50,"KAROL G, Nicki Minaj",2020-02,369
51,24kGoldn,2020-10,365
52,"Los Legendarios, Wisin, Jhay Cortez",2021-04,365
53,Maluma,2017-06,363
54,Ariana Grande,2018-12,352
55,Tones And I,2019-09,343
56,Måneskin,2021-07,342
57,Bad Bunny,2021-07,337
58,"Daddy Yankee, Snow",2019-03,334
59,Tones And I,2020-01,334
60,"Nicky Jam, J Balvin",2018-03,331
61,"Sech, Darell",2019-06,324
62,Bad Bunny,2021-06,322
63,DaBaby,2020-06,319
64,DJ Snake,2018-10,319
65,"Shawn Mendes, Camila Cabello",2019-09,317
66,Mariah Carey,2020-12,316
67,Ed Sheeran,2019-05,298
68,Luis Fonsi,2017-04,298
69,Drake,2020-04,292
70,Måneskin,2021-06,289
71,"Pedro Capó, Farruko",2019-01,283
72,"Ozuna, Manuel Turizo",2018-08,282
73,Masked Wolf,2021-03,281
74,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",2020-07,277
75,Justin Bieber,2021-04,277
76,Tainy,2021-10,275
77,"Shawn Mendes, Camila Cabello",2019-06,272
78,"Post Malone, 21 Savage",2017-12,271
79,"Dynoro, Gigi D'Agostino",2018-08,263
80,"Anuel AA, KAROL G",2019-02,262
81,"J Balvin, Willy William",2017-09,261
82,Roddy Ricch,2020-02,258
83,The Weeknd,2020-02,257
84,Billie Eilish,2019-05,256
85,"Luis Fonsi, Daddy Yankee, Justin Bieber",2017-04,249
86,Ariana Grande,2019-03,244
87,Paulo Londra,2018-12,241
88,Lil Nas X,2021-05,241
89,"Myke Towers, Juhn",2021-02,239
90,Calvin Harris,2018-05,238
91,BTS,2020-09,236
92,DJ Snake,2018-11,230
93,"Bad Bunny, Jowell & Randy, Ñengo Flow",2020-03,229
94,DaBaby,2020-07,228
95,"Ozuna, Manuel Turizo",2018-09,227
96,"Natti Natasha, Ozuna",2017-11,226
97,Luis Fonsi,2017-01,225
98,"Post Malone, 21 Savage",2017-09,225
99,The Weeknd,2020-04,224
100,Tainy,2021-11,224
101,"Bad Bunny, Jowell & Randy, Ñengo Flow",2020-04,223
102,Ed Sheeran,2019-06,221
103,Piso 21,2018-01,221
104,Cardi B,2020-09,219
105,"Bad Bunny, Jhay Cortez",2021-02,213
106,Daddy Yankee,2018-02,206
107,Bad Bunny,2021-09,206
108,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",2019-10,205
109,BTS,2021-07,204
110,Roddy Ricch,2020-01,203
111,Ariana Grande,2020-11,203
112,Olivia Rodrigo,2021-05,203
113,Cardi B,2020-08,201
114,The Kid LAROI,2021-07,201
115,Maluma,2020-08,199
116,DaBaby,2020-05,198
117,Kanye West,2018-09,195
118,Mariah Carey,2018-12,195
119,"Bad Bunny, Tainy",2019-07,195
120,Bad Bunny,2018-10,194
121,"Myke Towers, Juhn",2021-03,193
122,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",2018-07,192
123,"Dynoro, Gigi D'Agostino",2018-09,191
124,Maroon 5,2019-11,188
125,Bad Bunny,2021-08,187
126,Jonas Brothers,2019-03,184
127,Drake,2018-04,183
128,"Black Eyed Peas, J Balvin",2019-11,182
129,Taylor Swift,2017-09,181
130,"Lady Gaga, Bradley Cooper",2018-10,174
131,"Marshmello, Anne-Marie",2018-03,172
132,BTS,2021-06,172
133,BLACKPINK,2020-07,171
134,Kendrick Lamar,2017-04,169
135,"Dalex, Rafa Pabön, KHEA, Sech, Cazzu, Feid, Lenny Tavárez",2019-04,168
136,Rauw Alejandro,2021-06,168
137,BLACKPINK,2020-10,163
138,Tones And I,2020-02,162
139,Roddy Ricch,2020-03,161
140,"Jawsh 685, Jason Derulo",2020-07,159
141,CNCO,2017-01,158
142,"Luis Fonsi, Daddy Yankee, Justin Bieber",2017-08,157
143,Ed Sheeran,2017-05,157
144,"Post Malone, 21 Savage",2018-01,157
145,Camilo,2020-04,156
146,"Bad Bunny, Prince Royce, J Balvin, Mambo Kingz, DJ Luian",2017-12,156
147,Billie Eilish,2019-06,155
148,Lil Nas X,2021-09,154
149,Lil Nas X,2021-10,154
150,"Bad Bunny, Tainy",2019-06,153
151,Justin Bieber,2021-03,152
152,Post Malone,2019-01,150
153,Drake,2018-01,150
154,Bad Bunny,2018-02,149
155,Maroon 5,2018-06,149
156,Internet Money,2020-10,149
157,"Pedro Capó, Farruko",2018-12,148
158,Tones And I,2019-08,148
159,Farruko,2021-08,147
160,Bad Bunny,2018-11,145
161,SAINt JHN,2020-04,144
162,XXXTENTACION,2018-06,143
163,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",2019-07,143
164,Travis Scott,2019-10,142
165,Maroon 5,2019-10,142
166,Sech,2020-06,141
167,Bad Bunny,2020-03,138
168,Camila Cabello,2018-01,138
169,BTS,2021-05,136
170,"Lady Gaga, Bradley Cooper",2018-11,134
171,Ozuna,2017-10,134
172,Imagine Dragons,2017-07,133
173,"Natti Natasha, Ozuna",2017-10,133
174,J Balvin,2020-05,130
175,Calvin Harris,2018-06,130
176,The Weeknd,2020-05,128
177,"Camila Cabello, Young Thug",2017-11,127
178,Post Malone,2018-05,126
179,Mariah Carey,2017-12,126
180,"Post Malone, Swae Lee",2019-01,125
181,"The Chainsmokers, Coldplay",2017-04,123
182,Axwell /\ Ingrosso,2017-08,123
183,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",2020-08,122
184,Masked Wolf,2021-02,122
185,Bad Bunny,2018-03,121
186,"Camila Cabello, Young Thug",2017-12,121
187,"Dalex, Rafa Pabön, KHEA, Sech, Cazzu, Feid, Lenny Tavárez",2019-03,120
188,"Daddy Yankee, Snow",2019-04,120
189,"THE SCOTTS, Travis Scott, Kid Cudi",2020-04,120
190,Taylor Swift,2017-08,120
191,"Luis Fonsi, Demi Lovato",2017-12,120
192,Paulo Londra,2018-11,119
193,Sam Smith,2017-10,119
194,"Jawsh 685, Jason Derulo",2020-08,117
195,Ed Sheeran,2021-07,115
196,"Bad Bunny, Jhay Cortez",2021-03,115
197,Danny Ocean,2017-06,113
198,"Bad Bunny, Prince Royce, J Balvin, Mambo Kingz, DJ Luian",2017-11,112
199,Lil Nas X,2021-08,112
200,"Marshmello, Anne-Marie",2018-04,110
201,"Sebastian Yatra, Myke Towers",2021-05,109
202,The Weeknd,2018-04,108
203,BTS,2020-08,108
204,Billie Eilish,2020-11,108
205,Mariah Carey,2019-12,107
206,DJ Khaled,2017-07,107
207,Wham!,2020-12,107
208,Måneskin,2021-05,107
209,Eminem,2017-12,107
210,"Sech, Darell",2019-07,105
211,Billie Eilish,2019-11,105
212,Luis Fonsi,2017-05,105
213,BTS,2020-11,104
214,"Los Legendarios, Wisin, Jhay Cortez",2021-05,103
