,artist,region,stream,year,Rank
0,Olivia Rodrigo,Belgium,32587224,2021,1
1,Lil Nas X,Belgium,23845486,2021,2
2,Måneskin,Belgium,23399560,2021,3
3,The Weeknd,Belgium,20681267,2021,4
4,Ed Sheeran,Belgium,18801546,2021,5
5,The Kid LAROI,Belgium,18369448,2021,6
6,Billie Eilish,Belgium,17897715,2021,7
7,Justin Bieber,Belgium,17723345,2021,8
8,Dua Lipa,Belgium,15470734,2021,9
9,Doja Cat,Belgium,13668737,2021,10
10,Bad Bunny,Bolivia,13816064,2020,1
11,J Balvin,Bolivia,11213892,2020,2
12,Maluma,Bolivia,9519808,2020,3
13,Camilo,Bolivia,9212796,2020,4
14,Christian Nodal,Bolivia,7602448,2020,5
15,Rauw Alejandro,Bolivia,5274984,2020,6
16,KAROL G,Bolivia,5138145,2020,7
17,"KAROL G, Nicki Minaj",Bolivia,4645668,2020,8
18,"Piso 21, Christian Nodal",Bolivia,3629174,2020,9
19,The Weeknd,Bolivia,3467733,2020,10
20,Marília Mendonça,Brazil,699548604,2019,1
21,Zé Neto & Cristiano,Brazil,461314291,2019,2
22,Gusttavo Lima,Brazil,342071508,2019,3
23,Diego & Victor Hugo,Brazil,238137699,2019,4
24,Jorge & Mateus,Brazil,194625491,2019,5
25,Melim,Brazil,190631624,2019,6
26,Gustavo Mioto,Brazil,165854628,2019,7
27,MC Kevin o Chris,Brazil,161474936,2019,8
28,Dilsinho,Brazil,156288850,2019,9
29,Wesley Safadão,Brazil,138698374,2019,10
30,Gusttavo Lima,Brazil,470306099,2021,1
31,João Gomes,Brazil,448863177,2021,2
32,Henrique & Juliano,Brazil,417014812,2021,3
33,Jorge & Mateus,Brazil,406920180,2021,4
34,Zé Neto & Cristiano,Brazil,377615651,2021,5
35,"Marília Mendonça, Maiara & Maraisa",Brazil,331094367,2021,6
36,Os Barões Da Pisadinha,Brazil,318549080,2021,7
37,Zé Vaqueiro,Brazil,267732973,2021,8
38,Marília Mendonça,Brazil,253308418,2021,9
39,Olivia Rodrigo,Brazil,233818020,2021,10
40,Post Malone,Canada,211087764,2019,1
41,Billie Eilish,Canada,170416357,2019,2
42,Ariana Grande,Canada,141922242,2019,3
