,artist,region,n,date,Rank
0,Ed Sheeran,Australia,10,2017-02,1
1,Adele,Australia,7,2017-02,2
2,J. Cole,Australia,5,2017-02,3
3,Zara Larsson,Australia,4,2017-02,4
4,Tash Sultana,Australia,4,2017-02,5
5,Major Lazer,Australia,4,2017-02,6
6,Sia,Australia,4,2017-02,7
7,Bruno Mars,Australia,3,2017-02,8
8,Justin Bieber,Australia,3,2017-02,9
9,Milky Chance,Australia,3,2017-02,10
10,Ed Sheeran,Australia,18,2017-05,1
11,Kendrick Lamar,Australia,15,2017-05,2
12,Harry Styles,Australia,10,2017-05,3
13,The Chainsmokers,Australia,5,2017-05,4
14,Calvin Harris,Australia,5,2017-05,5
15,Drake,Australia,5,2017-05,6
16,Shawn Mendes,Australia,4,2017-05,7
17,Major Lazer,Australia,3,2017-05,8
18,Soundgarden,Australia,3,2017-05,9
19,Zara Larsson,Australia,3,2017-05,10
20,XXXTENTACION,Australia,9,2017-09,1
21,Ed Sheeran,Australia,9,2017-09,2
22,BTS,Australia,7,2017-09,3
23,Sam Smith,Australia,4,2017-09,4
24,Foo Fighters,Australia,4,2017-09,5
25,Vance Joy,Australia,4,2017-09,6
26,Kendrick Lamar,Australia,4,2017-09,7
27,Taylor Swift,Australia,4,2017-09,8
28,Khalid,Australia,3,2017-09,9
29,Macklemore,Australia,3,2017-09,10
30,Post Malone,Australia,21,2018-04,1
31,Avicii,Australia,16,2018-04,2
32,J. Cole,Australia,13,2018-04,3
33,Ed Sheeran,Australia,10,2018-04,4
34,Cardi B,Australia,9,2018-04,5
35,XXXTENTACION,Australia,9,2018-04,6
36,The Weeknd,Australia,5,2018-04,7
37,Kendrick Lamar,Australia,4,2018-04,8
38,Khalid,Australia,4,2018-04,9
39,Vance Joy,Australia,4,2018-04,10
40,DaBaby,Australia,10,2020-04,1
41,Dua Lipa,Australia,8,2020-04,2
42,The Weeknd,Australia,8,2020-04,3
43,Post Malone,Australia,6,2020-04,4
44,Sam Smith,Australia,6,2020-04,5
45,Billie Eilish,Australia,6,2020-04,6
46,Juice WRLD,Australia,5,2020-04,7
47,5 Seconds of Summer,Australia,5,2020-04,8
48,Ed Sheeran,Australia,5,2020-04,9
49,Travis Scott,Australia,5,2020-04,10
50,Lady Gaga,Australia,16,2020-05,1
51,Drake,Australia,14,2020-05,2
52,KSI,Australia,12,2020-05,3
53,Ed Sheeran,Australia,6,2020-05,4
54,Juice WRLD,Australia,6,2020-05,5
55,Hp Boyz,Australia,5,2020-05,6
56,Billie Eilish,Australia,5,2020-05,7
57,Post Malone,Australia,5,2020-05,8
58,Sam Smith,Australia,5,2020-05,9
59,Doja Cat,Australia,4,2020-05,10
60,Ariana Grande,Australia,16,2020-11,1
61,The Kid LAROI,Australia,11,2020-11,2
62,Pop Smoke,Australia,7,2020-11,3
63,BTS,Australia,7,2020-11,4
64,Juice WRLD,Australia,6,2020-11,5
65,Miley Cyrus,Australia,6,2020-11,6
66,ONEFOUR,Australia,6,2020-11,7
67,Billie Eilish,Australia,5,2020-11,8
68,Ed Sheeran,Australia,5,2020-11,9
69,Justin Bieber,Australia,4,2020-11,10
70,Michael Bublé,Australia,19,2020-12,1
71,Taylor Swift,Australia,19,2020-12,2
72,Juice WRLD,Australia,7,2020-12,3
73,Ariana Grande,Australia,7,2020-12,4
74,Pop Smoke,Australia,7,2020-12,5
75,The Kid LAROI,Australia,7,2020-12,6
76,Mariah Carey,Australia,6,2020-12,7
77,Ed Sheeran,Australia,6,2020-12,8
78,Kid Cudi,Australia,6,2020-12,9
79,Miley Cyrus,Australia,5,2020-12,10
80,Pop Smoke,Australia,8,2021-02,1
81,Ed Sheeran,Australia,7,2021-02,2
82,Billie Eilish,Australia,6,2021-02,3
83,Juice WRLD,Australia,6,2021-02,4
84,Ariana Grande,Australia,6,2021-02,5
85,The Kid LAROI,Australia,5,2021-02,6
86,Taylor Swift,Australia,4,2021-02,7
87,Dua Lipa,Australia,4,2021-02,8
88,Harry Styles,Australia,4,2021-02,9
89,Fleetwood Mac,Australia,4,2021-02,10
90,Justin Bieber,Australia,16,2021-03,1
91,Pop Smoke,Australia,8,2021-03,2
92,Ed Sheeran,Australia,7,2021-03,3
93,Juice WRLD,Australia,6,2021-03,4
94,The Kid LAROI,Australia,6,2021-03,5
95,Billie Eilish,Australia,5,2021-03,6
96,Ariana Grande,Australia,5,2021-03,7
97,Taylor Swift,Australia,4,2021-03,8
98,Fleetwood Mac,Australia,4,2021-03,9
99,Harry Styles,Australia,4,2021-03,10
100,Kanye West,Australia,30,2021-08,1
101,Billie Eilish,Australia,18,2021-08,2
102,Lorde,Australia,12,2021-08,3
103,Ed Sheeran,Australia,9,2021-08,4
104,The Kid LAROI,Australia,9,2021-08,5
105,Olivia Rodrigo,Australia,9,2021-08,6
106,Doja Cat,Australia,6,2021-08,7
107,Trippie Redd,Australia,5,2021-08,8
108,Juice WRLD,Australia,5,2021-08,9
109,Pop Smoke,Australia,4,2021-08,10
110,Eminem,Austria,20,2017-12,1
111,Michael Bublé,Austria,17,2017-12,2
112,RAF Camora,Austria,12,2017-12,3
113,Ed Sheeran,Austria,7,2017-12,4
114,"Huncho Jack, Travis Scott, Quavo",Austria,5,2017-12,5
115,Dean Martin,Austria,4,2017-12,6
116,Stevie Wonder,Austria,4,2017-12,7
117,Pentatonix,Austria,4,2017-12,8
118,Post Malone,Austria,3,2017-12,9
119,Kamaliya,Austria,3,2017-12,10
120,Camila Cabello,Austria,9,2018-01,1
121,Ed Sheeran,Austria,7,2018-01,2
122,Migos,Austria,7,2018-01,3
123,RAF Camora,Austria,7,2018-01,4
124,Fall Out Boy,Austria,5,2018-01,5
125,Eminem,Austria,5,2018-01,6
126,RIN,Austria,4,2018-01,7
127,The Cranberries,Austria,3,2018-01,8
128,Imagine Dragons,Austria,3,2018-01,9
129,Azet,Austria,3,2018-01,10
130,Ed Sheeran,Austria,16,2019-07,1
131,Shindy,Austria,15,2019-07,2
132,Billie Eilish,Austria,7,2019-07,3
133,MERO,Austria,6,2019-07,4
134,Capital Bra,Austria,5,2019-07,5
135,Samra,Austria,4,2019-07,6
136,Fero47,Austria,4,2019-07,7
137,Post Malone,Austria,4,2019-07,8
138,Lil Nas X,Austria,4,2019-07,9
139,Dardan,Austria,4,2019-07,10
140,"Capital Bra, Samra",Austria,14,2019-10,1
141,Apache 207,Austria,12,2019-10,2
142,Post Malone,Austria,10,2019-10,3
143,Kanye West,Austria,6,2019-10,4
144,RAF Camora,Austria,6,2019-10,5
145,Sido,Austria,6,2019-10,6
146,Billie Eilish,Austria,5,2019-10,7
147,Summer Cem,Austria,5,2019-10,8
148,RIN,Austria,4,2019-10,9
149,Shirin David,Austria,4,2019-10,10
150,Justin Bieber,Austria,16,2020-02,1
151,BTS,Austria,11,2020-02,2
152,Gzuz,Austria,9,2020-02,3
153,Billie Eilish,Austria,8,2020-02,4
154,AnnenMayKantereit,Austria,8,2020-02,5
155,Apache 207,Austria,7,2020-02,6
156,RIN,Austria,5,2020-02,7
157,Reynmen,Austria,5,2020-02,8
158,Jamule,Austria,4,2020-02,9
159,Capital Bra,Austria,4,2020-02,10
160,Apache 207,Austria,14,2020-08,1
161,Juice WRLD,Austria,8,2020-08,2
162,TJ_beastboy,Austria,8,2020-08,3
163,Luciano,Austria,7,2020-08,4
164,Pop Smoke,Austria,5,2020-08,5
165,Bonez MC,Austria,5,2020-08,6
166,"KC Rebell, Summer Cem",Austria,4,2020-08,7
167,Travis Scott,Austria,4,2020-08,8
168,Dua Lipa,Austria,4,2020-08,9
169,Ava Max,Austria,4,2020-08,10
170,Pop Smoke,Austria,7,2021-02,1
171,Juice WRLD,Austria,6,2021-02,2
172,Billie Eilish,Austria,4,2021-02,3
173,The Weeknd,Austria,4,2021-02,4
174,Apache 207,Austria,4,2021-02,5
175,Cro,Austria,4,2021-02,6
176,Luciano,Austria,3,2021-02,7
177,Ariana Grande,Austria,3,2021-02,8
178,Justin Bieber,Austria,3,2021-02,9
179,Dardan,Austria,3,2021-02,10
180,Billie Eilish,Austria,16,2021-07,1
181,Pop Smoke,Austria,16,2021-07,2
182,Luciano,Austria,14,2021-07,3
183,RAF Camora,Austria,11,2021-07,4
184,Olivia Rodrigo,Austria,8,2021-07,5
185,Måneskin,Austria,5,2021-07,6
186,Pashanim,Austria,4,2021-07,7
187,Cro,Austria,4,2021-07,8
188,"Loredana, Mozzik",Austria,3,2021-07,9
189,The Kid LAROI,Austria,3,2021-07,10
190,Vald,Belgium,13,2019-10,1
191,Brihang,Belgium,12,2019-10,2
192,Post Malone,Belgium,9,2019-10,3
193,Lomepal,Belgium,8,2019-10,4
194,Nick Cave & The Bad Seeds,Belgium,8,2019-10,5
195,Billie Eilish,Belgium,7,2019-10,6
196,Kanye West,Belgium,6,2019-10,7
197,Ed Sheeran,Belgium,5,2019-10,8
198,Camila Cabello,Belgium,5,2019-10,9
199,Niska,Belgium,4,2019-10,10
200,PLK,Belgium,18,2020-08,1
201,Leto,Belgium,14,2020-08,2
202,Juice WRLD,Belgium,7,2020-08,3
203,Pop Smoke,Belgium,6,2020-08,4
204,Billie Eilish,Belgium,5,2020-08,5
205,Dua Lipa,Belgium,4,2020-08,6
206,Lewis Capaldi,Belgium,4,2020-08,7
207,Kaaris,Belgium,4,2020-08,8
208,XXXTENTACION,Belgium,4,2020-08,9
209,Travis Scott,Belgium,4,2020-08,10
210,PLK,Belgium,18,2020-09,1
211,Damso,Belgium,13,2020-09,2
212,Wejdene,Belgium,9,2020-09,3
213,Pop Smoke,Belgium,8,2020-09,4
214,Freeze corleone,Belgium,8,2020-09,5
215,Kaaris,Belgium,8,2020-09,6
216,Billie Eilish,Belgium,5,2020-09,7
217,Juice WRLD,Belgium,5,2020-09,8
218,Travis Scott,Belgium,5,2020-09,9
219,Kevin,Belgium,4,2020-09,10
220,"Tyler, The Creator",Belgium,13,2021-06,1
221,Olivia Rodrigo,Belgium,11,2021-06,2
