,title,artist,region,year,n,Rank
0,Levitating (feat. DaBaby),Dua Lipa,Belgium,2021,334,1
1,Shallow,"Lady Gaga, Bradley Cooper",Belgium,2021,334,2
2,Bande organisée,"13 Organisé, SCH, Kofs, Jul, Naps, Soso Maness, Elams, Solda, Houari",Belgium,2021,334,3
3,Blinding Lights,The Weeknd,Belgium,2021,334,4
4,The Business,Tiësto,Belgium,2021,334,5
5,Dance Monkey,Tones And I,Belgium,2021,334,6
6,Fever,"Dua Lipa, Angèle",Belgium,2021,334,7
7,Head & Heart (feat. MNEK),Joel Corry,Belgium,2021,334,8
8,you broke me first,Tate McRae,Belgium,2021,334,9
9,Before You Go,Lewis Capaldi,Belgium,2021,334,10
10,Someone You Loved,Lewis Capaldi,Belgium,2021,334,11
11,Riptide,Vance Joy,Belgium,2021,334,12
12,Mood (feat. iann dior),24kGoldn,Belgium,2021,334,13
13,All of Me,John Legend,Belgium,2021,333,14
14,Another Love,Tom Odell,Belgium,2021,333,15
15,lovely (with Khalid),Billie Eilish,Belgium,2021,333,16
16,WITHOUT YOU,The Kid LAROI,Belgium,2021,333,17
17,Arcade,Duncan Laurence,Belgium,2021,333,18
18,Wake Me Up,Avicii,Belgium,2021,332,19
19,Bohemian Rhapsody - Remastered 2011,Queen,Belgium,2021,332,20
20,Péssimo Negócio (Ao Vivo),Dilsinho,Brazil,2019,365,1
21,Sem Sal - Ao Vivo,Marília Mendonça,Brazil,2019,365,2
22,Cidade Vizinha - Ao Vivo,Henrique & Juliano,Brazil,2019,365,3
23,Meu Abrigo,Melim,Brazil,2019,365,4
24,Solteiro Não Trai - Ao Vivo,Gustavo Mioto,Brazil,2019,365,5
25,Ciumeira - Ao Vivo,Marília Mendonça,Brazil,2019,365,6
26,Poesia Acústica #6: Era uma Vez,"Pineapple StormTv, MC Cabelinho, Bob do Contra, Azzy, Filipe Ret, Dudu, Xamã, Orochi, Maquiny, Salve Malak",Brazil,2019,365,7
27,Cobaia,"Lauana Prado, Maiara & Maraisa",Brazil,2019,365,8
28,Dona de mim,IZA,Brazil,2019,365,9
29,Espaçosa Demais - Ao Vivo,Felipe Araújo,Brazil,2019,365,10
30,Maturidade (feat. Matheus & Kauan),Avine Vinny,Brazil,2019,365,11
31,Believer,Imagine Dragons,Brazil,2019,365,12
32,Cem Mil - Ao Vivo,Gusttavo Lima,Brazil,2019,365,13
33,Bebi Liguei - Ao Vivo,Marília Mendonça,Brazil,2019,365,14
34,Deixa (feat. Ana Gabriela),Lagum,Brazil,2019,365,15
35,Ouvi Dizer,Melim,Brazil,2019,365,16
36,Hoje Eu Vou Parar Na Gaiola,"Mc Livinho, Rennan da Penha",Brazil,2019,365,17
37,Bem Pior Que Eu - Ao Vivo,Marília Mendonça,Brazil,2019,365,18
38,Notificação Preferida - Ao Vivo,Zé Neto & Cristiano,Brazil,2019,365,19
39,Atrasadinha - Ao Vivo,"Felipe Araújo, Ferrugem",Brazil,2019,365,20
40,Lucid Dreams,Juice WRLD,Canada,2019,365,1
41,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Canada,2019,365,2
42,Wow.,Post Malone,Canada,2019,364,3
43,SICKO MODE,Travis Scott,Canada,2019,364,4
44,Shallow,"Lady Gaga, Bradley Cooper",Canada,2019,364,5
45,when the party's over,Billie Eilish,Canada,2019,364,6
46,Going Bad (feat. Drake),Meek Mill,Canada,2019,364,7
47,Drip Too Hard (Lil Baby & Gunna),Lil Baby,Canada,2019,363,8
48,Without Me,Halsey,Canada,2019,363,9
49,Eastside (with Halsey & Khalid),benny blanco,Canada,2019,363,10
50,Happier,"Marshmello, Bastille",Canada,2019,363,11
51,rockstar (feat. 21 Savage),Post Malone,Canada,2019,363,12
52,Better Now,Post Malone,Canada,2019,363,13
53,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,Canada,2019,363,14
54,SAD!,XXXTENTACION,Canada,2019,360,15
55,Youngblood,5 Seconds of Summer,Canada,2019,360,16
56,Noticed,Lil Mosey,Canada,2019,356,17
57,Be Alright,Dean Lewis,Canada,2019,355,18
58,I Like Me Better,Lauv,Canada,2019,354,19
59,Look Back at It,A Boogie Wit da Hoodie,Canada,2019,354,20
60,Me Rehúso,Danny Ocean,Dominican Republic,2017,362,1
61,Te Quiero Pa´Mi,"Don Omar, Zion & Lennox",Dominican Republic,2017,362,2
62,Soy Peor,Bad Bunny,Dominican Republic,2017,362,3
63,Vacaciones,Wisin,Dominican Republic,2017,362,4
64,Andas En Mi Cabeza,"Chino & Nacho, Daddy Yankee",Dominican Republic,2017,362,5
