,title,artist,region,year,stream,Rank
0,MONTERO (Call Me By Your Name),Lil Nas X,Belgium,2021,10701941,1
1,drivers license,Olivia Rodrigo,Belgium,2021,10523714,2
2,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers",Belgium,2021,10379294,3
3,good 4 u,Olivia Rodrigo,Belgium,2021,9969987,4
4,The Business,Tiësto,Belgium,2021,9916258,5
5,STAY (with Justin Bieber),The Kid LAROI,Belgium,2021,9352079,6
6,Beggin',Måneskin,Belgium,2021,9177054,7
7,WITHOUT YOU,The Kid LAROI,Belgium,2021,7739555,8
8,Bad Habits,Ed Sheeran,Belgium,2021,7578474,9
9,Heat Waves,Glass Animals,Belgium,2021,7390343,10
10,Lençol Dobrado,"João Gustavo e Murilo, Analaga",Brazil,2019,127501461,1
11,Bebi Liguei - Ao Vivo,Marília Mendonça,Brazil,2019,122618524,2
12,Atrasadinha - Ao Vivo,"Felipe Araújo, Ferrugem",Brazil,2019,99621849,3
13,Vou Ter Que Superar - Ao Vivo,"Matheus & Kauan, Marília Mendonça",Brazil,2019,99482150,4
14,Cobaia,"Lauana Prado, Maiara & Maraisa",Brazil,2019,99430105,5
15,Tijolão - Ao Vivo,Jorge & Mateus,Brazil,2019,98211351,6
16,Notificação Preferida - Ao Vivo,Zé Neto & Cristiano,Brazil,2019,98023837,7
17,Todo Mundo Vai Sofrer - Ao Vivo,Marília Mendonça,Brazil,2019,96527310,8
18,Solteiro Não Trai - Ao Vivo,Gustavo Mioto,Brazil,2019,91808334,9
19,Quando a vontade bater (Participação especial de PK Delas),Pk,Brazil,2019,89371939,10
20,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Canada,2019,48557950,1
21,Wow.,Post Malone,Canada,2019,41772988,2
22,bad guy,Billie Eilish,Canada,2019,41087393,3
23,7 rings,Ariana Grande,Canada,2019,37900815,4
24,Señorita,"Shawn Mendes, Camila Cabello",Canada,2019,37173138,5
25,Someone You Loved,Lewis Capaldi,Canada,2019,33050563,6
26,Going Bad (feat. Drake),Meek Mill,Canada,2019,32974803,7
27,I Don't Care (with Justin Bieber),Ed Sheeran,Canada,2019,32035128,8
28,MIDDLE CHILD,J. Cole,Canada,2019,31973591,9
29,Ransom,Lil Tecca,Canada,2019,29535950,10
30,Me Rehúso,Danny Ocean,Dominican Republic,2017,2314531,1
31,Despacito (Featuring Daddy Yankee),Luis Fonsi,Dominican Republic,2017,2224989,2
32,Ahora Dice,"Chris Jedi, J Balvin, Ozuna, Arcangel",Dominican Republic,2017,2224877,3
33,Shape of You,Ed Sheeran,Dominican Republic,2017,2016652,4
34,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,Dominican Republic,2017,1873164,5
35,Escápate Conmigo,"Wisin, Ozuna",Dominican Republic,2017,1783502,6
36,Felices los 4,Maluma,Dominican Republic,2017,1782855,7
37,Otra vez (feat. J Balvin),Zion & Lennox,Dominican Republic,2017,1622220,8
38,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)","Ozuna, Bad Bunny, Farruko, Ñengo Flow",Dominican Republic,2017,1560991,9
39,Mi Gente,"J Balvin, Willy William",Dominican Republic,2017,1552392,10
40,DÁKITI,"Bad Bunny, Jhay Cortez",Dominican Republic,2020,3244528,1
41,Vete,Bad Bunny,Dominican Republic,2020,3140374,2
42,Ignorantes,"Bad Bunny, Sech",Dominican Republic,2020,3097898,3
43,Tusa,"KAROL G, Nicki Minaj",Dominican Republic,2020,3079117,4
44,Safaera,"Bad Bunny, Jowell & Randy, Ñengo Flow",Dominican Republic,2020,2997015,5
45,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Dominican Republic,2020,2994408,6
46,Sigues Con El,"Dímelo Flow, Arcangel, Sech",Dominican Republic,2020,2908348,7
47,La Curiosidad,"Jay Wheeler, DJ Nelson, Myke Towers",Dominican Republic,2020,2890606,8
48,Yo Perreo Sola,Bad Bunny,Dominican Republic,2020,2856997,9
49,CÓMO SE SIENTE - Remix,"Jhay Cortez, Bad Bunny",Dominican Republic,2020,2789089,10
50,Blinding Lights,The Weeknd,Estonia,2020,1318933,1
51,Croissantid,nublu,Estonia,2020,1025986,2
52,Paaristõuked,"5MIINUST, Villemdrillem",Estonia,2020,1024819,3
53,Roses - Imanbek Remix,SAINt JHN,Estonia,2020,935920,4
54,Aluspükse,"5MIINUST, nublu",Estonia,2020,864779,5
55,1-2,nublu,Estonia,2020,856369,6
56,Peo lõpp,5MIINUST,Estonia,2020,854430,7
57,für Oksana,"nublu, gameboy tetris",Estonia,2020,772051,8
58,ROCKSTAR (feat. Roddy Ricch),DaBaby,Estonia,2020,671315,9
59,loodus ja hobused,"5MIINUST, Hendrik Sal-Saller",Estonia,2020,640048,10
60,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,Guatemala,2018,3218720,1
61,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Guatemala,2018,3122009,2
62,La player (Bandolera),Zion & Lennox,Guatemala,2018,3016276,3
63,Me Niego (feat. Ozuna & Wisin),Reik,Guatemala,2018,2670084,4
64,X,"Nicky Jam, J Balvin",Guatemala,2018,2601610,5
65,Vaina Loca,"Ozuna, Manuel Turizo",Guatemala,2018,2586531,6
66,Bella,Wolfine,Guatemala,2018,2557148,7
67,No Es Justo,"J Balvin, Zion & Lennox",Guatemala,2018,2378917,8
68,Por Perro,"Sebastian Yatra, Luis Figueroa, Lary Over",Guatemala,2018,2323402,9
69,Dembow,Danny Ocean,Guatemala,2018,2229235,10
70,Tusa,"KAROL G, Nicki Minaj",Guatemala,2020,7899843,1
71,Sigues Con El,"Dímelo Flow, Arcangel, Sech",Guatemala,2020,7122904,2
72,Hawái,Maluma,Guatemala,2020,6933265,3
73,Pa' Olvidarme De Ella,"Piso 21, Christian Nodal",Guatemala,2020,6639057,4
74,Rojo,J Balvin,Guatemala,2020,6548828,5
75,Vete,Bad Bunny,Guatemala,2020,6203574,6
76,Ignorantes,"Bad Bunny, Sech",Guatemala,2020,5912856,7
