,title,artist,region,date,n
0,Tamagotchi,"TACONAFIDE, Quebonafide, Taco Hemingway",Poland,2018-05,31
1,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Panama,2018-05,31
2,God's Plan,Drake,Ireland,2018-03,31
3,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Costa Rica,2018-05,31
4,God's Plan,Drake,Australia,2018-03,31
5,God's Plan,Drake,New Zealand,2018-03,31
6,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Ecuador,2018-05,31
7,FRIENDS,"Marshmello, Anne-Marie",Hungary,2018-03,31
8,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Honduras,2018-05,31
9,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Dominican Republic,2018-05,31
10,One Kiss (with Dua Lipa),Calvin Harris,United Kingdom,2018-05,31
11,God's Plan,Drake,United Kingdom,2018-03,31
12,One Kiss (with Dua Lipa),Calvin Harris,Belgium,2018-05,31
13,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Paraguay,2018-05,31
14,God's Plan,Drake,Portugal,2018-03,31
15,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Chile,2018-05,31
16,In My Mind,"Dynoro, Gigi D'Agostino",Poland,2018-08,31
17,Mary Jane (Radio Edit),Burry Soprano,Turkey,2018-10,31
18,Vaina Loca,"Ozuna, Manuel Turizo",Panama,2018-08,31
19,No Es Justo,"J Balvin, Zion & Lennox",Colombia,2018-07,31
20,Vaina Loca,"Ozuna, Manuel Turizo",Chile,2018-08,31
21,Sin Pijama,"Becky G, Natti Natasha",Uruguay,2018-07,31
22,In My Mind,"Dynoro, Gigi D'Agostino",Czech Republic,2018-08,31
23,In My Feelings,Drake,Israel,2018-08,31
24,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Mexico,2018-07,31
25,In My Feelings,Drake,Philippines,2018-08,31
26,Adan y Eva,Paulo Londra,Paraguay,2018-12,31
27,Calma - Remix,"Pedro Capó, Farruko",Costa Rica,2019-01,31
28,Calma - Remix,"Pedro Capó, Farruko",Colombia,2019-01,31
29,Adan y Eva,Paulo Londra,Uruguay,2018-12,31
30,Adan y Eva,Paulo Londra,Argentina,2018-12,31
31,Calma - Remix,"Pedro Capó, Farruko",El Salvador,2019-01,31
32,Calma - Remix,"Pedro Capó, Farruko",Mexico,2018-12,31
33,Adan y Eva,Paulo Londra,Ecuador,2018-12,31
34,今夜このまま,Aimyon,Japan,2019-01,31
