,title,artist,date,n
0,Señorita,"Shawn Mendes, Camila Cabello",2019-07,1059
1,Shape of You,Ed Sheeran,2017-02,940
2,Shape of You,Ed Sheeran,2017-01,905
3,Shape of You,Ed Sheeran,2017-03,905
4,STAY (with Justin Bieber),The Kid LAROI,2021-08,823
5,Señorita,"Shawn Mendes, Camila Cabello",2019-08,811
6,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",2017-06,717
7,7 rings,Ariana Grande,2019-02,641
8,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",2017-05,621
9,drivers license,Olivia Rodrigo,2021-01,613
10,rockstar,"Post Malone, 21 Savage",2017-10,605
11,MONTERO (Call Me By Your Name),Lil Nas X,2021-04,602
12,Dance Monkey,Tones And I,2019-10,599
13,In My Feelings,Drake,2018-07,548
14,Despacito (Featuring Daddy Yankee),Luis Fonsi,2017-03,542
15,STAY (with Justin Bieber),The Kid LAROI,2021-09,538
16,Mi Gente,"J Balvin, Willy William",2017-08,532
17,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",2017-07,528
18,Shape of You,Ed Sheeran,2017-04,522
19,Tusa,"KAROL G, Nicki Minaj",2020-01,520
20,Dance Monkey,Tones And I,2019-12,512
21,Hawái,Maluma,2020-09,510
22,Dance Monkey,Tones And I,2019-11,500
23,DÁKITI,"Bad Bunny, Jhay Cortez",2020-11,496
24,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",2019-08,494
25,DÁKITI,"Bad Bunny, Jhay Cortez",2020-12,484
26,Hawái,Maluma,2020-10,483
27,Despacito (Featuring Daddy Yankee),Luis Fonsi,2017-02,476
28,Tusa,"KAROL G, Nicki Minaj",2019-12,472
29,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",2018-05,463
30,bad guy,Billie Eilish,2019-04,445
31,drivers license,Olivia Rodrigo,2021-02,441
32,good 4 u,Olivia Rodrigo,2021-06,437
33,God's Plan,Drake,2018-03,426
34,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",2019-09,412
35,Otro Trago,"Sech, Darell",2019-05,411
36,Blinding Lights,The Weeknd,2020-03,410
37,In My Feelings,Drake,2018-08,408
38,Felices los 4,Maluma,2017-05,408
39,Easy On Me,Adele,2021-11,408
40,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",2018-06,406
41,rockstar,"Post Malone, 21 Savage",2017-11,403
42,God's Plan,Drake,2018-02,399
43,"thank u, next",Ariana Grande,2018-11,399
44,Easy On Me,Adele,2021-10,389
45,Mi Gente,"J Balvin, Willy William",2017-07,387
46,7 rings,Ariana Grande,2019-01,381
47,Mood (feat. iann dior),24kGoldn,2020-09,378
48,DÁKITI,"Bad Bunny, Jhay Cortez",2021-01,375
49,X,"Nicky Jam, J Balvin",2018-04,372
50,Tusa,"KAROL G, Nicki Minaj",2020-02,369
51,Mood (feat. iann dior),24kGoldn,2020-10,365
52,Fiel,"Los Legendarios, Wisin, Jhay Cortez",2021-04,365
53,Felices los 4,Maluma,2017-06,363
54,"thank u, next",Ariana Grande,2018-12,351
55,Dance Monkey,Tones And I,2019-09,343
56,Yonaguni,Bad Bunny,2021-07,337
57,Con Calma,"Daddy Yankee, Snow",2019-03,334
58,Dance Monkey,Tones And I,2020-01,334
59,X,"Nicky Jam, J Balvin",2018-03,331
60,Beggin',Måneskin,2021-07,327
61,Otro Trago,"Sech, Darell",2019-06,324
62,Yonaguni,Bad Bunny,2021-06,322
