,region,year(date),stream,population
0,United States,2018,30785180823,331893745
1,United States,2019,29791300658,331893745
2,United States,2020,28685986160,331893745
3,United States,2021,27093009816,331893745
4,United States,2017,25763351668,331893745
5,Brazil,2021,16426316020,214326223
6,Brazil,2020,12523039097,214326223
7,Mexico,2020,11678777603,126705138
8,Mexico,2021,11229884263,126705138
9,Brazil,2019,11105842661,214326223
10,Germany,2020,9670533810,83196078
11,Germany,2019,9487817364,83196078
12,Mexico,2019,9252240063,126705138
13,Brazil,2018,9133616560,214326223
14,United Kingdom,2019,7756183618,67326569
15,United Kingdom,2018,7700413316,67326569
16,Germany,2021,7635865814,83196078
17,United Kingdom,2020,7355444642,67326569
18,Germany,2018,7262379877,83196078
19,Mexico,2018,7256065181,126705138
20,United Kingdom,2017,7031667418,67326569
21,Brazil,2017,6677867793,214326223
22,United Kingdom,2021,6562881981,67326569
23,Spain,2021,6534529838,47415750
24,Italy,2019,6463644503,59109668
25,Spain,2020,6447968256,47415750
26,Mexico,2017,6178260482,126705138
27,Italy,2020,6017168448,59109668
28,Italy,2021,6006812529,59109668
29,France,2020,5958998585,67749632
30,Germany,2017,5874089071,83196078
31,Spain,2019,5715184365,47415750
32,France,2019,5452129081,67749632
33,Argentina,2021,5347005918,45808747
34,France,2021,5286611939,67749632
35,India,2021,4974301230,1407563842
36,Italy,2018,4784976103,59109668
37,Spain,2018,4687618897,47415750
38,Indonesia,2021,4672260854,273753191
39,Indonesia,2020,4549361612,273753191
40,Australia,2020,4386727303,25688079
41,Argentina,2020,4381484115,45808747
42,Australia,2019,4354534346,25688079
43,Canada,2020,4295398941,38246108
44,Japan,2021,4198200691,125681593
45,Netherlands,2019,4182503215,17533044
46,Canada,2019,4153704360,38246108
47,France,2018,4103821514,67749632
48,Chile,2020,4100738306,19493184
49,Philippines,2019,4081571771,113880328
50,Australia,2018,4060855939,25688079
51,Australia,2021,4042200817,25688079
52,Turkey,2021,4041980967,84775404
53,Chile,2021,4027888384,19493184
54,Chile,2019,4002136390,19493184
55,Philippines,2020,4000302402,113880328
56,Philippines,2021,3995581253,113880328
57,Netherlands,2020,3979452992,17533044
58,Argentina,2019,3961321148,45808747
59,Canada,2018,3882963815,38246108
60,Canada,2021,3867492595,38246108
61,Netherlands,2018,3816052453,17533044
62,Spain,2017,3666808570,47415750
63,Indonesia,2019,3536033914,273753191
64,Philippines,2018,3467089600,113880328
65,Netherlands,2021,3457617587,17533044
66,Turkey,2020,3449183711,84775404
67,Netherlands,2017,3385264314,17533044
68,Sweden,2017,3306199075,10415811
69,Japan,2020,3298962653,125681593
70,Australia,2017,3283499394,25688079
71,India,2020,3261511880,1407563842
72,Philippines,2017,3241421071,113880328
73,Argentina,2018,3154620138,45808747
74,Canada,2017,3125817010,38246108
75,Sweden,2019,3089861934,10415811
76,France,2017,3068255917,67749632
77,Sweden,2018,2957392443,10415811
78,Chile,2018,2943940988,19493184
79,Sweden,2020,2904179482,10415811
80,Poland,2021,2821381057,37747124
81,Turkey,2019,2805243052,84775404
82,Argentina,2017,2687519093,45808747
83,Sweden,2021,2502600968,10415811
84,Italy,2017,2318420960,59109668
85,Poland,2020,2279660175,37747124
86,Chile,2017,2118828749,19493184
87,Norway,2017,1971842509,5408320
88,Peru,2020,1889123265,33715471
89,Norway,2018,1820723707,5408320
90,Peru,2019,1816673620,33715471
91,Indonesia,2018,1800258387,273753191
92,Peru,2021,1779313215,33715471
93,Poland,2019,1757662749,37747124
94,Norway,2019,1735763227,5408320
95,Norway,2020,1693181532,5408320
96,Colombia,2021,1594327510,51516562
97,Russia,2021,1561729901,143449286
98,Colombia,2020,1499964751,51516562
99,Denmark,2017,1479607389,5856733
100,Norway,2021,1460286232,5408320
101,Turkey,2018,1433759741,84775404
102,Denmark,2020,1398647743,5856733
103,Denmark,2018,1372543351,5856733
104,Denmark,2019,1368049019,5856733
105,Peru,2018,1353831240,33715471
106,Japan,2019,1334289453,125681593
107,India,2019,1312864888,1407563842
108,Indonesia,2017,1248862891,273753191
109,Finland,2017,1221239136,5541017
110,Poland,2018,1216950237,37747124
111,Colombia,2019,1173222112,51516562
112,Thailand,2020,1151560903,71601103
113,Denmark,2021,1121892825,5856733
114,Finland,2018,1085896473,5541017
115,Peru,2017,1047280275,33715471
116,Thailand,2021,1026525627,71601103
117,Finland,2019,1006288312,5541017
118,Belgium,2020,970228687,11592952
119,Colombia,2018,965389042,51516562
120,Finland,2020,952325107,5541017
121,Malaysia,2020,915321864,33573874
122,Ireland,2019,910211920,5033165
